X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61435.6950    9572.6645     925.3669      -0.3193       0.9422        0.1018        341.28        84.16         5.9900        1.4548         433           1445         0.0095        0.3034        0.8117        0.2448        Set3
61435.8267    9573.1364     925.5939      -0.9158       0.3336        0.2239        290.01        77.06         4.4612        0.2722         9460          1447         0.0314        1.0544        1.4411        1.4976        Set3
61435.7976    9573.1964     926.7551      0.6869        -0.6771       0.2640        134.59        74.69         3.6843        0.9998         2861          1450         0.0361        1.1426        0.8302        0.7632        Set3
61435.7689    9549.4623     921.7144      -0.9639       0.2553        0.0761        284.83        85.63         4.9733        0.1608         8213          1462         0.0140        1.1286        0.9590        1.0512        Set3
61435.6715    9551.8584     920.9072      0.9934        -0.1124       0.0233        96.45         88.66         4.6930        1.4605         1236          1478         0.0180        0.4692        0.7834        0.3168        Set3
61435.7788    9553.1248     918.6924      -0.9176       0.2859        0.2760        287.31        73.98         2.6354        0.1539         753           1499         0.0241        0.4540        0.4821        0.2592        Set3
61435.8064    9553.9827     919.5294      0.9424        -0.3091       0.1275        108.16        82.67         5.7036        0.8042         856           1510         0.0132        0.8836        0.5228        0.4176        Set3
61435.7138    9571.6508     927.3336      0.8517        -0.4514       0.2660        117.92        74.58         3.9569        1.7182         608           1525         0.0111        0.6062        0.2672        0.2304        Set3
61435.9775    9543.9666     916.5850      -0.5214       0.7550        0.3977        325.37        66.57         4.6392        0.2372         875           1542         0.0093        0.3383        0.4698        0.2160        Set3
61435.9226    9545.6223     917.4903      -0.9689       0.1732        0.1767        280.13        79.82         4.5258        0.1775         2200          1546         0.0147        0.7451        0.5389        0.4032        Set3
61435.9276    9551.6532     921.8159      -0.6332       0.7638        0.1252        320.34        82.81         3.7765        0.3013         1322          1565         0.0156        0.3153        0.5746        0.2592        Set3
61435.8484    9572.8388     927.4058      0.8041        -0.5867       0.0963        126.12        84.47         3.3309        0.4170         1861          1607         0.0271        0.7634        0.7993        0.6048        Set3
61435.8753    9572.6384     927.8896      -0.7090       0.4006        0.5804        299.46        54.52         4.9347        0.2862         159           1608         0.0073        0.3769        0.2625        0.1728        Set3
61436.0396    9574.2795     925.9230      -0.7531       0.6241        0.2083        309.65        77.98         3.8828        0.3588         10989         1617         0.0478        1.2458        1.8815        2.0160        Set3
61435.8964    9573.8506     925.4229      -0.8886       0.4578        0.0286        297.26        88.36         3.0930        2.5594         1384          1618         0.0275        0.2442        0.6936        0.2304        Set3
61435.8925    9575.3335     923.7739      -0.8702       0.4533        0.1929        297.51        78.88         3.1537        0.6869         1304          1622         0.0195        0.3937        0.3689        0.1728        Set3
61435.8873    9577.5749     919.3492      -0.9421       0.2714        0.1967        286.07        78.66         4.2585        0.3321         3661          1624         0.0152        0.6088        0.4906        0.2880        Set3
61436.0583    9541.4619     916.4444      -0.6151       0.7589        0.2140        320.98        77.65         6.0797        0.7782         1213          1628         0.0109        0.4196        1.0985        0.5184        Set3
61436.0784    9550.3751     922.1212      -0.6384       0.6028        0.4787        313.36        61.40         3.1511        0.2365         2388          1644         0.0251        0.6351        0.6808        0.5184        Set3
61436.0146    9552.2861     922.2507      -0.8172       0.5398        0.2019        303.44        78.35         4.5916        0.4755         1344          1652         0.0126        0.3600        0.7487        0.3888        Set3
61435.9504    9554.4256     920.5510      -0.9438       0.2182        0.2484        283.02        75.62         3.9735        0.4301         735           1665         0.0105        0.3138        0.3829        0.1728        Set3
61436.0270    9547.4463     919.5623      0.9675        -0.2272       0.1111        103.22        83.62         4.9442        0.1535         1442          1694         0.0094        0.6191        0.4151        0.3168        Set3
61436.0752    9551.2315     922.2583      -0.9543       0.2690        0.1300        285.74        82.53         5.4884        0.4301         1373          1704         0.0100        0.9204        0.4637        0.4752        Set3
61436.0568    9577.8161     919.5231      -0.8022       0.5600        0.2072        304.92        78.04         3.8370        1.9134         1171          1735         0.0259        0.7056        0.4500        0.3312        Set3
61436.1752    9541.6814     916.8380      -0.4853       0.6979        0.5267        325.19        58.22         4.4002        0.8686         221           1741         0.0130        0.2726        0.4260        0.1584        Set3
61436.2301    9542.3037     916.4771      -0.7251       0.6026        0.3333        309.73        70.53         6.3066        3.1319         278           1745         0.0091        0.2668        0.8242        0.2160        Set3
61436.1364    9543.7613     917.1793      -0.6069       0.6144        0.5043        315.35        59.72         3.2820        0.3083         480           1746         0.0167        0.3755        0.3245        0.2160        Set3
61436.2150    9543.7188     917.5611      -0.6697       0.6866        0.2830        315.71        73.56         4.5584        0.4560         830           1747         0.0084        0.3383        0.3447        0.1728        Set3
61436.1730    9544.3095     916.8758      -0.7528       0.3053        0.5832        292.08        54.32         3.0303        0.0832         794           1749         0.0145        0.3713        0.3157        0.1728        Set3
61436.1497    9573.5699     927.2405      -0.7351       0.5710        0.3655        307.84        68.56         4.1824        0.4082         329           1769         0.0120        0.5300        0.3436        0.2592        Set3
61436.3520    9575.6319     923.8062      -0.5405       0.7743        0.3293        325.08        70.78         4.8377        0.4373         2679          1775         0.0118        0.6771        0.4093        0.3312        Set3
61436.3615    9539.7125     917.5426      -0.9341       0.2893        0.2091        287.21        77.93         5.6740        0.4928         1501          1781         0.0136        0.8350        1.0742        0.8064        Set3
61436.2614    9540.5934     917.1232      -0.9020       0.3763        0.2116        292.64        77.78         3.9401        0.0349         802           1787         0.0130        0.5501        0.6146        0.3600        Set3
61436.2667    9542.1221     917.1210      -0.5424       0.7879        0.2916        325.46        73.05         5.6888        0.4512         509           1791         0.0071        0.2465        0.5964        0.2304        Set3
61436.4388    9543.0900     917.8394      -0.5588       0.6956        0.4515        321.22        63.16         5.3717        1.0439         950           1795         0.0117        0.4423        0.6424        0.3312        Set3
61436.4175    9547.3000     920.9171      0.9443        -0.3267       0.0396        109.09        87.73         6.2460        0.7276         8115          1803         0.0160        1.5660        1.2003        1.2240        Set3
61436.2954    9548.3684     921.2719      -0.7569       0.6409        0.1277        310.26        82.66         7.1243        0.6042         742           1804         0.0078        0.5420        1.3634        0.6192        Set3
61436.2985    9549.2335     922.6175      -0.8248       0.1487        0.5455        280.22        56.94         4.6491        1.1286         261           1806         0.0100        0.4715        0.3355        0.1872        Set3
61436.4462    9544.1746     917.9334      -0.6978       0.5043        0.5088        305.86        59.42         4.3685        0.5097         1329          1840         0.0166        0.3379        0.5313        0.2160        Set3
61436.3165    9545.7070     918.4777      -0.9859       0.1133        0.1230        276.56        82.93         4.7196        0.5187         414           1844         0.0096        0.3994        0.3382        0.1584        Set3
61436.5177    9574.8347     925.6998      -0.7886       0.5164        0.3339        303.22        70.50         4.5605        0.3970         1668          1864         0.0211        0.5598        1.1981        0.6192        Set3
61436.5687    9576.9734     922.9119      -0.8628       0.4992        0.0800        300.05        85.41         3.8970        0.4163         50830         1872         0.0497        1.7626        2.1608        2.8080        Set3
61436.7801    9578.3016     921.6998      -0.8435       0.5240        0.1180        301.85        83.23         7.1083        0.1719         14515         1873         0.0131        2.1809        1.7466        3.2832        Set3
61436.4075    9540.4680     917.6149      -0.9708       0.1872        0.1498        280.92        81.38         3.8865        1.1815         196           1878         0.0119        0.3281        0.3636        0.1584        Set3
61436.4014    9540.9673     917.4725      -0.8783       0.4364        0.1951        296.42        78.75         5.0329        0.5615         424           1881         0.0080        0.2908        0.5377        0.2016        Set3
61436.7243    9541.3667     918.4658      -0.8972       0.3640        0.2499        292.08        75.53         4.8235        1.5909         2085          1882         0.0381        0.9451        1.7958        1.1088        Set3
61436.8576    9576.3404     925.2056      -0.8464       0.5030        0.1752        300.72        79.91         3.8235        0.7421         28844         1900         0.0910        1.9099        2.6325        4.3488        Set3
